id,text,humor_mechanism,humor_target
tweet3391,"Sé voltear tortillas 

MENTIRAS DE MUJERES",stereotype,stereotype
tweet3576,En este día tan especial... También quiero felicitar a todas aquellas mujeres que aun sin ser madres han dado pecho a más de uno! �,irony,object
tweet3885,"Cuando una mujer te responda ""OK"", lee toda la conversación y revisa donde la cagaste.",stereotype,stereotype
tweet4014,"—Amor, ayer fui con Ana y con unos amigos al cine y nos dispararon, murieron casi todos. Estoy muy grave, tal vez muera. —¿Quién es Ana?",exaggeration,stereotype
tweet4097,"-¿Cuántos años tienes, linda? 
-¿En Facebook, Twitter o en Instagram?",stereotype,stereotype
tweet4212,"¡Oye! te ví en la tele ayer -¿En serio? ¿en dónde? -En Animal Planet, PERRA!",insults,mysogeny
tweet4274,Si la mujer fuera buena Dios tendria una... y si fuera de confianza el diablo no tendría cuernos... #fb,stereotype,stereotype
tweet4424,"Y dios le dijo a eva: Pagarás esto con tu sangre!

Y Eva le respondió: lo puedo pagar a plazos?

Y ASÍ SE CREÓ LA MENSTRUACIÓN.",absurd,mysogeny
tweet4501,"Cada 28 días, a mi novia le sucede la maldición de los enanos, Se pone gruñona, feliz, tímida, dormilona y tontina.",analogy,mysogeny
tweet4760,"Cuando una mujer te pregunta cuáles son tus intenciones, sabe que te la quieres coger, pero quiere ver si tienes los huevos de decírselo.",stereotype,stereotype
tweet5177,En un restaurante: —Señor ¿vino con su pescado? —No! Es mi esposa y así huele!  ,wordplay,mysogeny
tweet5291,El "NO" de las mujeres proviene del latín "ruégame un poquito más".,stereotype,stereotype
tweet5393,"Chistes, cosquillas, palabras dulces, para sacarle una sonrisa a la gorda no necesitas mucho. Ahora intentá sacarle un sandwich de la mano.",embarrassment,stereotype
tweet5469,"SI de entrada me dice de qué signo es, ya le digo cual es mi Pokemon preferido, para que crea que ambos somos retardados y se sienta cómoda.",insults,mysogeny
tweet5581,"Cuando una mujer es atenta, cariñosa y amorosa contigo, indudablemente está esperando el momento adecuado para hacerte daño. Tengan cuidado.",stereotype,stereotype
tweet5591,"Sí pones el GPS en voz femenina y no le obedeces, empieza a reclamarte, a gritarte y si no haces caso, te amenaza con bajarse a media calle.",stereotype,stereotype
tweet5608,"Una mujer está enojada si:

—No habla.
—Habla sin parar.
—Actúa como si nada pasara.
—Está rara.
—Te insulta.

Y también podría no estarlo.",stereotype,stereotype
tweet5678,"—Amiga, regresé con mi ex.
—¿El que te puso el cuerno?
—Sí, pero está arrepentido, ¿qué opinas?
—Si ser pendeja te hace feliz, te apoyo.",insults,mysogeny
tweet5770,"No hay nada más peligroso que una machorra enojada, tienen el humor de una mujer y la fuerza de un hombre.",analogy,mysogeny
tweet5809,"-Estoy a favor de ""Ni una menos"", creo...
-Sí, yo también
-Cerrá el orto y dejame hablar querés, conchuda. Después no sabes por qué te fajo.",insults,mysogeny
tweet5909,"La mujer cambia por dos razones:

1- No las.
2- Sé.",exaggeration,stereotype
tweet5941,—¿Eres ganadero? —No. —¿Y qué haces con esa vaca? —¡Papá! deja a mi novia en paz. —JAJAJÁ que nos deje un litro de leche o se va. —¡Ya :( !,insults,stereotype
tweet5984,#MACHISTA: ¿Cómo conviertes una perra en una gata? Le quitas la tarjeta de crédito. by @Choyizo #fb,wordplay,mysogeny
tweet6255,"Soy de esos caballeros que siempre se baja a abrirle la puerta del carro a una mujer... 

Sólo para que no azote la puerta la muy pendeja.",unmasking,mysogeny
tweet6269,"Si eres gorda y no tienes tetas, debes ser consciente de que tu existencia es un error.",insults,stereotype
tweet6308,"Mujeres, el «hombre perfecto» no existe, así que deben resignarse al pendejo que tienen o morirán solas, leyendo a Coelho y adoptando gatos.",exaggeration,object
tweet6564,"- Como te puedo hacer feliz en la cama? 
- No me despiertes!

**Todas las mujeres**",embarrassment,stereotype
tweet6570,"Si tu pareja te dice ""Tenemos que hablar"" no puede ser nada bueno... a menos que sea muda, entonces es un milagro ¡ALABADO SEA CRISTOJAJAAJA",absurd,ideological
tweet6660,"Las mujeres se enojan por 5 razones:

1. Por todo.
2. Por nada.
3. Porque sí.
4. Porque no.
5. Por si acaso.",insults,mysogeny
tweet6907,"PIROPOS

Hombres: 

—Cuidado con las abejas señorita, es usted un dulce.

Mujeres:

—Ojalá fuera una foca para que me mates a palos papi.",exaggeration,violence
tweet6970,"-La señora dice: Mi amor, mi amor ¿cierto que tengo un cuerpo de palmera? Y el esposo le dice: Si, ¡pero una cara de coco…!",embarrassment,stereotype
tweet7019,"-Papá, ¿los hombres van al infierno? -Los solteros al morir, pero los casados lo pagamos por adelantado...",irony,ideological
tweet7042,"-Amor estoy gorda? -mm a ver rueda para acá, mm rueda para allá... No amor esta bien #xD",embarrassment,stereotype
tweet7195,"Tres formas de iniciar una pelea con una mujer:

1.- Decirle que si.
2.- Decirle que no.
3.- Quedarse callado.",stereotype,stereotype
tweet7284,No hay nada mas indefenso que una mujer con las uñas recién pintadas.,exaggeration,stereotype
tweet7396,"Dos amigas:
-¿Y quien tuvo la culpa de tu separación?
-Evidentemente mi marido que volvió dos días antes del viaj...",stereotype,stereotype
tweet7865,"-¿Oíste? ¡Te dijo PUTA! -¿QUEE? 
¿Cómo se atreve? 
Cuídame un momento la esquina ahorita regreso.",irony,object
tweet7920,"Un hombre que adivina correctamente la edad de una mujer puede que sea listo, pero no es muy brillante. -Lucille Ball",irony,ideological
tweet7966,"Los hombres tenemos dos opciones:  
1. Perder la discusión y pedir perdón.  
2. Ganar la discusión, hacerlas llorar, y luego pedir perdón.",stereotype,stereotype
tweet8153,"Van cuatro mujeres en un coche, ¿quién conduce?
La Grua.",stereotype,stereotype
tweet8169,"-Por fin después de 6 años logré que mi novio me hable de matrimonio.
 -¿Y qué te dijo?
 -¡Que tiene esposa y 3 hijos!",unmasking,mysogeny
tweet8170,"- ¿Tienes novio?

- Para ti tengo novio, amante, esposo y soy lesbiana.

- Te pregunté que si tenias novio, no que si eras puta.",insults,mysogeny
tweet8257,En la Biblia dice que los hombres podían tener hasta 3 esposas. Ahora no puedes tener ni amigas porque ya te quieren matar.,reference,object
tweet8515,Venezuela como reguetonera borracha.... Era lógico que se la iban a meter,analogy,violence
tweet8632,"A lo largo del tiempo he aprendido que la “EX” es como Voldemort.

¡JAMÁS DEBE SER NOMBRADA!",analogy,mysogeny
tweet8782,"—¿Estás bien princesa? ¿Qué te pasó en la cara?
—Me acabo de quitar el maquillaje...",absurd,stereotype
tweet8800,"—Eres puta
—¿¡QUÉ IDIOTA!?
—Perdón, estaba limpiando mi teclado
—Ah, ok
—Además de puta, pendeja…
—¿¡QUE!?
—Sigo limpiando
—Ah, Ok.",insults,mysogeny
tweet8863,"—¿Cómo te fué en el examen hija? —Bien, aprobé. —¡Qué bueno!, ¿qué sacaste? —Las tetas",unmasking,mysogeny
tweet8982,"—Di algo bonito. —Tú. —Aún más bonito. —Tu hermana, JAJAJAJAJAJANo es cierto mi amorSUELTA ESA PIST...",reference,ideological
tweet9088,"2 y 2 son 4, 4 y 2 son 6, 6 y 2 son 8 y vos sos puta a los 16.",insults,mysogeny
tweet9424,"—Hoy hablaremos del respeto hacia la mujer.
—Profe, ¿puedo ir al baño antes de comenzar?
—¡¡Con ese culazo puedes ir a donde quieras, mija!!",unmasking,mysogeny
tweet9587,-A su novia le dicen Bob Esponja. -¿Rubia y de ojos azules? -No. Plana y sin chiste.,embarrassment,stereotype
tweet9691,Llamadas perdidas: Papá (2) hermana (1) hermano (1) Mamá (78).,exaggeration,stereotype
tweet9727,"Entra seco y oliendo a goma, pero sale mojado y oliendo a pescado. ¿Qué es...? El buzo. #fb",irony,object
tweet9838,Los DIEZ mejores años de una mujer son entre los 28 y los 30... #fb,absurd,stereotype
tweet9907,"A falta de sexo, a joder a mis alumnos.  

—Todas las maestras.",stereotype,stereotype
tweet10119,"Una cosa es “Delinear” los ojos para resaltar la mirada y otra muy diferente querer verse como un mapache rabioso, pónganse vergas, morras.",analogy,mysogeny
tweet10129,"Top 5 amores de las mujeres: 

- Ropa. 
- Ropa. 
- Ropa.
- Ropa.
- Hombres que puedan comprar ropa.",stereotype,stereotype
tweet10239,"Mujeres, se ven bien pendejas haciendo uso de Tinder para «buscar amigos». Es como si yo entrara a Youporn para ver si se comen la pizza.",exaggeration,stereotype
tweet10262,"Si el hombre araña... 

¿La mujer rasguña?",wordplay,stereotype
tweet10585,"Enamórate de la persona que tenga las mismas perversiones sexuales que tu, viejas locas hay un chingo.",insults,mysogeny
tweet10816,"—¿Y tu novia? 
—Se está arreglando. 
—¿En miércoles? 
—Sí, es que vamos a salir este fin de semana.",exaggeration,stereotype
tweet10856,"Quédate con la que después de lavarse la cara, aún tenga cejas y pestañas. Mujeres con maquillaje de payaso asesino, hay un chingo.",insults,mysogeny
tweet11133,"Cuando ya en la mitad d tu vida casi estas libre d la maldita menstruacion, Dios se acuerda d Eva otra vez y t envia la Menopausa.",reference,stereotype
tweet11204,Los terapeutas hacen un montón de preguntas carísimas que una esposa te las hace gratis,analogy,stereotype
tweet11480,me pinté las uñas y ahora me dieron ganas de acostarme a dormir la siesta y no puedo pq se me va a correr todo q ganas d haber nacido nene,reference,stereotype
tweet11484,"Siento mucha lástima por los hombres que no saben valorar a las mujeres.
Yo con solo verlas ya sé más o menos cuanto COBRAN.",insults,mysogeny
tweet12024,"El ""amor a primera vista"" es amor puro, porque la viste, no la escuchaste hablar ni  le diste tiempo de que te rompa los huevos.",unmasking,mysogeny
tweet12045,"#Chiste Era una mujer tan fea, tan fea que llego virgen a su tercer divorcio #chistes RT.",exaggeration,stereotype
tweet12326,"-Mi amor, ese vestido te hace ver gorda -Mi amor, estoy desnuda...",embarrassment,stereotype
tweet12437,"#TIPICO Que hacen tres mujeres en una isla desierta?....
Se juntan dos y critican a la otra #XD #RT",stereotype,stereotype
tweet12484,"Discutir con una mujer es como discutir con el árbitro; aunque tengas la razón, NUNCA LE VAS A GANAR.",analogy,ideological
tweet12538,"Una mujer te puede dar un abrazo, un beso, su amor, incluso hasta las nalgas, pero nunca, nunca, jamás, pero ni de pedo, te dará la razón.",irony,ideological
tweet12658,"—Disculpe, ¿tiene la pastilla del día siguiente?
—No, señorita.
—Bueno, entonces deme 40 patadas en el estómago.",exaggeration,stereotype
tweet12684,"""Las mujeres como las bolsas de hielo, con unos putazos aflojan""

 #MachistaComoMORENA",analogy,violence
tweet12713,"#Chiste Doctor, tengo como 10 novios ¿será que me pongo la T de cobre? -Mejor póngase la P de puta y cobre! #chistes RT.",embarrassment,stereotype
tweet12782,"-¿Cuál es la similitud entre una mujer y una computadora?
-Ninguna tiene cerebro, y  las dos tienen muy buena mem...",analogy,mysogeny
tweet12878,"Ni el FBI, CIA u otro departamento tienen la determinación y empeño en encontrar lo que buscan como una mujer cuando sigue el rastro de algo",stereotype,stereotype
tweet12894,"- Papá... ¿qué es el amor?
- Es la luz de la vida, hijo mío.
-¿Y el matrimonio?
- Es la factura que llega después...",analogy,ideological
tweet12899,"—Terminé con mi novia.
—¿Por qué?
—Ya no la entendía.
—¿Qué te decía?
—T3 am0o muxX0op mIi am0orsx.
—Ahh pues sí estaba cabrón.",exaggeration,stereotype
tweet12914,"-Por que los Huracanes tienen nombre de mujeres?? -Porque cuando se van.. Se llevan tu casa, tu auto, tus muebles.. Etc. Jajaja",reference,mysogeny
tweet12977,"—Jeny ¿quién es el padre de la patria?
—No mame profe, no sé ni quien es el padre de mi bebé, menos el de esa pendeja.
—Reprobada.
—Ay :(",misunderstanding,object
tweet13146,Si las mujeres gobernaran no habría III Guerra Mundial sólo grupitos de países hablando mal de otros y sonriéndose entre sí.,stereotype,stereotype
tweet13184,"¿Por qué una mujer se queda mirando un sobresito de sopa durante más de media hora?
Porque dice: ""concentrada"".
#...",misunderstanding,ideological
tweet13219,"Dios lo sabe todo , mi mujer lo comenta.. #chistes #frases",stereotype,stereotype
tweet13317,"Si eres hombre, no importa lo que hagas o dejes de hacer, siempre habrá una mujer enojada contigo en algún rincón del mundo.",reference,ideological
tweet13524,"- ¿Qué es lo que más te gusta de una mujer?
- A mi las piernas.
- Pues mira, yo es lo primero que aparto
#Chistes...",wordplay,mysogeny
tweet13579,"Si las putas brillaran, tú serías ""Las Vegas"".�",insults,mysogeny
tweet13764,"“Mujeres” sin la “J” es MUERES. 

¿Coincidencia? No lo creo.
¿Estoy loco? Tal vez.
¿Mi elote? Con chilito del que no pica.",stereotype,stereotype
tweet13838,"Como decía mi abuelo, buscate una flaca y limpia porque gorda y sucia se vuelven solas.",stereotype,stereotype
tweet14099,"Amigas, cuando el profesor les diga que se vayan vestidas de manera formal, no se refiere a ir vestidas igual que en el antro, de nada.",embarrassment,stereotype
tweet14196,"Los bikinis exponen el 90% del cuerpo de una mujer, pero yo como todo un caballero, sólo miro el 10% que está cubierto.",irony,ideological
tweet14314,"—Estoy emputada, no me hables.

—Ok.

—AHHH, ¿TE VALE VERGA?",stereotype,stereotype
tweet14391,"En una pelea con mi novia puedo:

1.- Perder la discusión y pedir perdón.
2.- Ganar la discusión, hacerla llorar y luego pedir perdón.",reference,ideological
tweet14469,"AVISO A LOS HOMBRES: Con el corazón de una mujer no se juega, para eso está el clitoris...",wordplay,violence
tweet14507,¿Cual es el matrimonio ideal? Una mujer ciega con un marido sordo y con hijos mudos... #chistes #fb,exaggeration,stereotype
tweet14589,"—¿A dónde?
—Qué te importa, estoy harta de que siempre quieras controlarme.
—Si no me dice la bajo de taxi señorita.
—Perdón, la costumbre.",misunderstanding,mysogeny
tweet14644,"Hola. (Está enojada)
Holaa. (Normal)
Holaaa. (Te extraña)
Holaaaaa. (Ven ya)
Ola. (Es una llama)
hOoliiz (Retrasada)
Oaaa. (Teletubbie)",stereotype,stereotype
tweet14743,Un grupo de WhatsApp de mujeres tiene más secretos que el gobierno de Estados Unidos.,analogy,mysogeny
tweet14855,"-Papá, ya tengo NOVIA! Ese es mi HIJOO, igualito a su padre! -Papá, ya tengo NOVIO! Mira hija, primero concentrate en tus estudios. Ok?",unmasking,mysogeny
tweet14881,"Las mujeres son como las láminas del techo, si no están bien clavadas, se vuelan con el vecino.",stereotype,stereotype
tweet15149,No me preocupo por el terrorismo; he estado casado por 2 años... by @ispano77 #chistes #fb,analogy,ideological
tweet15186,"A las mujeres les gusta hacer dramas cuando están deprimidas, celosas, tristes, alegres, con hambre, sueño, frío o cuando respiran.",exaggeration,stereotype
tweet15199,"Chica a la puerta del vecino: -Quiero beber, bailar y tener SEXO estás ocupado? -¡NO! -Ah pues cuídame a los nenes! by @Miksabelle",unmasking,ideological
tweet15314,"Sujetador con relleno, extensiones de pelo, uñas postizas, maquillaje. Y luego se quejan por no encontrar a un hombre de verdad.",stereotype,stereotype
tweet15670,¿Por qué las mujeres casadas casi nunca se emborrachan? Porque no soportan ver a su marido ¡Doble!,stereotype,stereotype
tweet15765,"¿Por qué quiere divorciarse de su esposo? Porque me trata como a un perro. ¿La maltrata, le pega?No. Quiere que le sea fiel.",unmasking,mysogeny
tweet15808,Cómo tener loca a una mujer: 1. Tómela una foto. 2. No se la enseñes.,reference,stereotype
tweet15944,"Mujeres que se maquillan tanto que les pasas el dedo por la cara y hasta puedes escribir “Lávame”, como en los carros.",analogy,object
tweet16096,"—Amor, cuando termine de arreglarme llego a tu casa.

—Ok, mientras leo la Biblia.",stereotype,stereotype
tweet16211,La gente cree que el sueño de toda mujer es encontrar el hombre perfecto. PUES NO! Es comer de todo sin engordar! ツ,reference,stereotype
tweet16293,"— ¿Qué queremos? 
— ¡La cura para los celos!
— ¿Cuándo la queremos? 
— ¡Después de asesinar a esas perras!",exaggeration,stereotype
tweet16433,MACHISTA: ¿En qué se parece la mujer a la montaña rusa? En que primero divierten y luego marean. #fb,stereotype,stereotype
tweet16759,"9 de cada 10 mujeres tienen un genio de la chingada, la otra también pero es tu novia y te callas porque sino te parte tu madre.",reference,ideological
tweet16874,¿En qué se parecen las mujeres a las matemáticas? En que no cualquier idiota las entiende.,analogy,ideological
tweet17010,"""En el fondo, bajo todas sus capas de estupidez, es una buena persona. ""- Toda mujer defendiendo a su novio que claramente es un fuckboy.",stereotype,stereotype
tweet17085,"Los hombres modernos lavan, planchan y cocinan. Las mujeres modernas son las que se consiguen a esos pendejos.",stereotype,stereotype
tweet17287,Jaimito a Rosa: -Yo tengo algo que tú no tienes¡ -Ah sí? pues con lo que yo tengo puedo conseguir los que quiera de los tuyos!,exaggeration,object
tweet17299,"¿Quién iba a pensar que al crecer se harían bien putas?

—Yo, cada vez que veo sus fotos de niñas.",insults,mysogeny
tweet17357,"-Prestame atención.
-Qué fácil decirlo cuando la del escote sos vos.",absurd,object
tweet17411,"Como anda Maria - HASTA LAS MANOS. . -¿QUÉ LE PASA?
ES MANICURA
#chistes",misunderstanding,mysogeny
tweet17463,"—¿Qué haces abuelo?
—Matando moscas
—Ya mataste alguna?
—4 machos y 2 hembras
—Cómo sabes?
—4 estaban en el vaso de cerveza y 2 en el espejo",stereotype,stereotype
tweet17652,"Una pareja al cruzar un puente: -Querido, si cayera al agua, ¿me salvarías? -Y si digo SÍ ¿saltarías, querida? #fb",irony,object
tweet17737,"Tu abuelita se tardó 9 meses tejiéndote ropa, para que al final terminaras desnudándote por likes en todas las put%= fotos de Facebook.",insults,mysogeny
tweet17830,"Cosas que hacen los hombres para molestar a las mujeres:

—Ser frío
—Ser sentimental
—No hablar
—Hablar
—Respirar
—Nacer
—Vivir",exaggeration,stereotype
tweet17851,"—Amor, ¿vamos al gym?
—¿Estás diciéndome gorda?
—Si no quieres no.
—¿Ah soy huevona?
—Calma.
—¿Ah soy histérica?
—Me voy solo.
—PUTO INFIEL.",stereotype,stereotype
tweet17901,"¿Qué es un partido doble mixto de tenis?.
Un single de hombres con obstáculos.
#Chistes #Humor #Anecdotas #Machis...",stereotype,stereotype
tweet18008,"Habla como puta, se viste como puta, se comporta como puta, se maquilla como puta; pero no le digas puta, porque se emputa la puta.",insults,mysogeny
tweet18040,Si Sócrates hubiera sido mujer diría: "Yo solo sé que no sé qué ponerme".,parody,stereotype
tweet18089,"Muchacha busca empleo pero no sabe hacer nada. El jefe dice: -Ud es un caso peculiar -Ah, pa eso si soy buena! #ChistePicante",misunderstanding,object
tweet18128,"A mi prima  le decimos ""araña""
siempre la encontramos en los rincones @diazdangelo #chistes",wordplay,mysogeny
tweet18159,"Si el cachetero no se convierte en tanga, fracasaste como nalgona.",exaggeration,stereotype
tweet18188,A la mujer hay que mostrarle interés pero no tanto porque se espantan y no tan poquito porque se aburren y no más o menos PORQUE ESTÁN LOCAS,insults,mysogeny
tweet18460,La mujer es el conjunto de curvas capaz de poner recta la única curva que tiene el hombre. #fb,wordplay,mysogeny
tweet18488,"Todas las gordas tienen algo hermoso , generalmente es una prima.       #chistes #humor",insults,stereotype
tweet18541,"Mi mujer es cinturón negro en shopping…
#chistes #frases",analogy,stereotype
tweet18542,Algunas mujeres se enamoran con una sonrisa o con un beso... Para todas las demás existe Master Card #ChisteMachista,insults,mysogeny
tweet18632,"— Las mujeres soportamos la menstruación, el embarazo, el parto, la menopausia, etc.

— Los hombres soportamos a las mujeres.",stereotype,stereotype
tweet18666,"""Qué hermosa se ve esa mujer con rastas"".

—Nadie, ni Bob Marley.",exaggeration,stereotype
tweet18783,"A mi novia le acaban de dar una licencia para matar, ella paso su exámen de manejo.",absurd,mysogeny
tweet18785,"—Mi amor, ¿qué me darás en mi cumpleaños?
—¿Ves ese vestido azul de allá?
—¡Awww Siiii!
—Ah, pues una escoba del mismo color.",unmasking,mysogeny
tweet18848,"Che, hablando de putas, ¿vos bien?",insults,mysogeny
tweet18930,"— Qué bonitos labios. 
— ¡Gracias! ¿Es mi nuevo labial, te gusta? 
— No sé, con los leggings negros casi no se ven.",unmasking,mysogeny
tweet18985,"No hay mujer FEA, sino hombres con falta de whiskys.",absurd,stereotype
tweet18991,"—Bebé ¿Me veo gorda con este vestido?
—¡No mi amor, te vez gorda con todos!",embarrassment,stereotype
tweet19108,Me gustaban las tetas hasta que las empecé a tener yo.,reference,stereotype
tweet19114,"Lo malo de ser mujer:
—Cólicos, menstruación, bipolaridad, cambios hormonales, celos.
Lo malo de ser hombre:
—Tener que aguantar todo eso.",stereotype,stereotype
tweet19129,-Acabo de matar 2 moscas machos y 4 moscas hembras -ah cabron y como sabes? -2 estaban en el vaso de cerveza y 4 en el espejo #humortico,absurd,stereotype
tweet19138,"""No me voy a enojar, sólo dime la verdad"".

—Una mujer preparando el Apocalipsis.",stereotype,stereotype
tweet19154,"La mujer no olvida, guarda todo para cuando este perdiendo una discusión y revertir el marcador.",reference,ideological
tweet19185,"""Donde vos ves celulitis
Arjona ve un Gran Rex""

Ludwig van Beethoven",stereotype,stereotype
tweet19189,"¿Por qué las mujeres ven las películas porno enteras?.
Porque creen que al final se van a casar.
#Chistes #Humor ...",stereotype,stereotype
tweet19198,«Ya quiero tener novia para esperar horas y horas afuera de los probadores de ropa sin enojarme» —Dijo nunca nadie en la vida.,exaggeration,stereotype
tweet19200,"Discutir con una mujer es como ser atacado por un oso, lo mejor es hacerse el muerto con la esperanza de que se aburra y se vaya!",stereotype,stereotype
tweet19224,"Twitter definitivamente fue inventado por un hombre. Si una mujer lo hubiera creado, el límite de caracteres seria de 1000.",stereotype,stereotype
tweet19240,"En vez de menstruar, las mujeres deberían recibir un mensaje de la naturaleza diciendo: ""No estas embarazada, que pases un feliz mes"".",exaggeration,stereotype
tweet19411,"Las mujeres nunca se equivocan, incluso cuando se equivocan, hay un momento de la discusión donde sorprendentemente vuelven a tener la razón",stereotype,stereotype
tweet19428,"-SÍ te quiero, pero es que soy muy complicada.

—UY PERDÓN HIJA DE BALDOR, FAMILIAR DEL CUBO RUBIK, SUDOKU NIVEL LEGENDARIO.",analogy,ideological
tweet19490,Los hombres vemos el culo de otras mujeres solo para pensar: “Está más chingon el culo de mi novia” y ustedes enojándose. No mamen mujeres.,reference,ideological
tweet19504,"Hombres que solo andan con mujeres por como mueven la cola, mejor adopten un pinche perro, los van a querer mas y les sale más barato.",stereotype,stereotype
tweet19584,"Las mujeres se clasifican en dos categorías: 

—Tu novia. 
—Y Todas las demás con las que nunca debes de hablar, porque tu novia se emputa.",stereotype,stereotype
